"Model","hauljoin","lon","lat","Folds","abund","pred","prob","cvpred","cvprob","error","cverror"
"cloglog",-16640,-161348.740275328,582005.639391133,"G",0,3.68503692981596,0.361381973271734,4.75921500453296,0.411429494596972,3.68503692981596,4.75921500453296
"cloglog",-19620,824651.259724671,1126505.63939113,"G",0,1.49046044495632,0.165882380830066,1.39979777878203,0.14435761678527,1.49046044495632,1.39979777878203
"cloglog",-19315,66651.259724672,802005.639391132,"G",18,7.3788783917086,0.59260375996627,9.64246289186207,0.658337303556855,-10.6211216082914,-8.35753710813793
"cloglog",-19116,-131348.740275328,790005.639391132,"G",0,12.445945430422,0.780104589954892,12.825723877348,0.760324090690494,12.445945430422,12.825723877348
"cloglog",-19058,41651.259724672,720005.639391133,"G",1,8.51266005937112,0.645108798483053,8.98191495975723,0.632253940210983,7.51266005937112,7.98191495975723
"cloglog",-15011,-86348.7402753278,683505.639391133,"G",2,3.17246006542025,0.320277722210897,3.16387813119347,0.296985372678264,1.17246006542025,1.16387813119347
"cloglog",-10498,298651.259724672,905505.639391132,"G",4,1.86105667421906,0.202665017020431,1.84342041161445,0.185606267542434,-2.13894332578094,-2.15657958838555
"cloglog",-16628,-189348.740275328,577005.639391133,"G",3,6.44619568462811,0.543636956222936,6.96055330389562,0.539403579025757,3.44619568462811,3.96055330389562
"cloglog",-15169,609651.259724671,1121005.63939113,"G",0,1.3266572736097,0.149088294320114,1.09539156366763,0.114851154991496,1.3266572736097,1.09539156366763
"cloglog",-16858,206651.259724672,848005.639391132,"G",0,6.62843912222408,0.553646778423524,8.19905622535604,0.598750391677606,6.62843912222408,8.19905622535604
"cloglog",-9778,-568348.740275327,506505.639391134,"G",107,8.55952420197912,0.647127021132576,9.12480220094742,0.638059964958363,-98.4404757980209,-97.8751977990526
"cloglog",-18816,-390348.740275327,549505.639391134,"G",6,8.58545674624402,0.64823887937835,8.96310204970137,0.631482597116017,2.58545674624402,2.96310204970137
"cloglog",-17243,582317.926391338,1125672.3060578,"G",0,1.63542883079443,0.180468721176022,1.83931329447874,0.185233653371102,1.63542883079443,1.83931329447874
"cloglog",-18902,-662348.740275327,552505.639391134,"G",2,9.77644271200752,0.695699452894944,9.08890463638835,0.636609996359165,7.77644271200752,7.08890463638835
"cloglog",-19117,-131348.740275328,820505.639391132,"G",0,5.32263481949969,0.476770683056733,5.43254265298702,0.453953182247091,5.32263481949969,5.43254265298702
"cloglog",-9772,-622348.740275327,539505.639391134,"G",0,8.88457762964549,0.660813216061675,10.0355952334983,0.672974291551333,8.88457762964549,10.0355952334983
"cloglog",-19729,218651.259724672,936005.639391132,"G",0,2.52451109169972,0.264510595687058,2.02455175621412,0.201870863978581,2.52451109169972,2.02455175621412
"cloglog",-14890,242651.259724672,1008005.63939113,"G",0,5.42067426234918,0.482976167906068,5.11429127813,0.434251274651663,5.42067426234918,5.11429127813
"cloglog",-14376,-93348.7402753278,858505.639391132,"G",4,5.17368104701254,0.467199696356315,5.04148301432248,0.429644947002846,1.17368104701254,1.04148301432248
"cloglog",-16615,-323348.740275328,639005.639391133,"G",0,6.28104812004668,0.534372390386645,7.37110106635862,0.559990034660582,6.28104812004668,7.37110106635862
"cloglog",-19536,714651.259724671,1133005.63939113,"G",0,0.999534241249624,0.114531000704803,0.967957193452004,0.102198635096949,0.999534241249624,0.967957193452004
"cloglog",-16612,-309348.740275328,595005.639391133,"G",0,5.81152788245035,0.506992577451592,6.45752249589603,0.512862035732086,5.81152788245035,6.45752249589603
"cloglog",-14977,88651.2597246718,814005.639391132,"G",14,6.91857801897594,0.569131773760979,7.07476545381935,0.545225443831366,-7.08142198102406,-6.92523454618065
"cloglog",-14810,149651.259724672,874505.639391132,"G",2,6.56961942291125,0.550440304284532,6.96287407061657,0.539522616702885,4.56961942291125,4.96287407061657
